timestamp,close,high,low,trade_count,open,volume,vwap
2016-01-01 00:00:00+00:00,204.07,204.09,204.01,25,204.05,5657,204.055959
2016-01-04 09:00:00+00:00,200.84,201.39,200.83,171,201.18,41746,201.041554
2016-01-04 10:00:00+00:00,201.11,201.13,200.75,174,200.87,132855,200.958839
2016-01-04 11:00:00+00:00,200.4,201.12,200.26,479,201.08,268709,200.663606
2016-01-04 12:00:00+00:00,200.5,200.65,199.98,1460,200.29,969105,200.372248
2016-01-04 13:00:00+00:00,200.34,200.86,200.07,3161,200.5,1506458,200.626708
2016-01-04 14:00:00+00:00,200.22,200.56,199.59,87707,200.35,26683674,200.676549
2016-01-04 15:00:00+00:00,199.14,200.32,199.11,124172,200.22,35440839,200.74027
2016-01-04 16:00:00+00:00,199.38,199.59,198.59,115632,199.15,34928599,200.2118
2016-01-04 17:00:00+00:00,199.7901,200.0,199.14,61880,199.39,21539358,200.405486
2016-01-04 18:00:00+00:00,199.91,200.28,199.69,56262,199.8,20689251,201.223234
2016-01-04 19:00:00+00:00,199.6,200.16,199.32,58764,199.91,19738607,200.649141
2016-01-04 20:00:00+00:00,200.99,201.03,198.99,134873,199.6,44499597,200.571881
2016-01-04 21:00:00+00:00,201.45,201.51,200.89,8662,201.0,17375036,201.119361
2016-01-04 22:00:00+00:00,201.46,201.6,201.41,1140,201.46,1291647,201.440345
2016-01-04 23:00:00+00:00,201.7,201.76,201.43,400,201.46,328871,201.616109
2016-01-05 00:00:00+00:00,201.69,201.83,201.61,515,201.73,468344,201.713048
2016-01-05 09:00:00+00:00,200.61,201.14,200.33,110,201.14,23084,200.563965
2016-01-05 10:00:00+00:00,200.22,200.34,199.82,524,200.34,284429,200.109542
2016-01-05 11:00:00+00:00,200.14,200.33,200.01,143,200.2,91823,200.167495
2016-01-05 12:00:00+00:00,200.54,200.54,200.03,679,200.36,401328,200.251294
2016-01-05 13:00:00+00:00,201.31,202.225,199.93,2386,199.93,1432685,201.068543
2016-01-05 14:00:00+00:00,200.92,201.8,200.89,55447,201.3,12533492,201.406195
2016-01-05 15:00:00+00:00,201.3099,201.49,200.35,67989,200.92,14264157,200.873808
2016-01-05 16:00:00+00:00,200.88,201.435,200.6,48317,201.3,11030071,200.927622
2016-01-05 17:00:00+00:00,200.6,200.89,200.05,48266,200.8814,10276406,200.346493
2016-01-05 18:00:00+00:00,201.28,201.49,200.31,46499,200.6,11404331,200.909974
2016-01-05 19:00:00+00:00,201.35,201.9,201.05,53054,201.2892,15090958,201.423631
2016-01-05 20:00:00+00:00,201.43,201.68,200.78,90424,201.34,22635304,201.258513
2016-01-05 21:00:00+00:00,201.52,201.75,201.3,3823,201.43,12696889,201.214149
2016-01-05 22:00:00+00:00,201.55,201.56,201.49,495,201.56,163134,201.53362
2016-01-05 23:00:00+00:00,201.59,201.7,201.56,320,201.58,273925,201.630651
2016-01-06 00:00:00+00:00,201.65,201.76,201.45,196,201.57,116124,201.589408
2016-01-06 09:00:00+00:00,199.53,199.85,199.35,488,199.52,282108,199.579936
2016-01-06 10:00:00+00:00,198.79,199.59,198.75,268,199.5,163271,199.053895
2016-01-06 11:00:00+00:00,198.8,198.84,198.06,414,198.79,256517,198.539723
2016-01-06 12:00:00+00:00,197.97,198.83,197.87,1848,198.8,1094727,198.484761
2016-01-06 13:00:00+00:00,198.38,199.11,197.75,5815,197.97,2253045,198.120006
2016-01-06 14:00:00+00:00,199.2,199.31,197.98,86110,198.38,20183627,198.747959
2016-01-06 15:00:00+00:00,199.26,199.69,198.73,86246,199.18,21645816,199.418329
2016-01-06 16:00:00+00:00,199.32,200.06,199.21,60330,199.25,13966215,199.689556
2016-01-06 17:00:00+00:00,199.23,199.73,199.06,37251,199.32,8483459,199.314354
2016-01-06 18:00:00+00:00,198.731,199.32,198.68,37570,199.235,8513053,198.964575
2016-01-06 19:00:00+00:00,197.75,199.34,197.65,91635,198.73,22693967,198.743118
2016-01-06 20:00:00+00:00,198.79,198.93,197.6,132792,197.75,36220511,198.55563
2016-01-06 21:00:00+00:00,199.16,199.27,198.484,6608,198.8,17527070,199.089702
2016-01-06 22:00:00+00:00,199.28,199.28,199.2,380,199.2,258750,199.247305
2016-01-06 23:00:00+00:00,199.44,199.45,198.85,327,199.28,215870,199.198217
2016-01-07 00:00:00+00:00,199.29,199.56,199.24,279,199.44,189245,199.377869
2016-01-07 09:00:00+00:00,194.51,195.45,193.75,884,194.27,427570,194.145291
2016-01-07 10:00:00+00:00,194.35,194.87,193.83,583,194.49,155451,194.31749
2016-01-07 11:00:00+00:00,194.75,195.08,194.35,422,194.35,116444,194.732122
2016-01-07 12:00:00+00:00,194.91,195.22,194.5,1672,194.73,794592,194.861032
2016-01-07 13:00:00+00:00,195.27,196.95,193.68,4816,194.91,2219586,194.872659
2016-01-07 14:00:00+00:00,196.18,196.58,195.03,95521,195.26,23756281,195.843332
2016-01-07 15:00:00+00:00,197.2,197.44,195.66,107560,196.18,24419845,196.528494
